Time(s),CELL VOLTAGE 1 (100 uV),CELL VOLTAGE 2 (100 uV),CELL VOLTAGE 3 (100 uV),CELL VOLTAGE 4 (100 uV),CELL VOLTAGE 5 (100 uV),CELL VOLTAGE 6 (100 uV),CELL VOLTAGE 7 (100 uV),CELL VOLTAGE 8 (100 uV),CELL VOLTAGE 9 (100 uV),CELL VOLTAGE 10 (100 uV),CELL VOLTAGE 11 (100 uV),CELL VOLTAGE 12 (100 uV),Temperature 1(C),Temperature 2(C),Temperature 3(C)
446.550,0,0,0,38568,38572,38550,38499,38519,38505,38492,38512,38433,0,25,28,28
451.488,38830,38849,38849,38566,38572,38551,38498,38518,38504,38491,38511,38433,29,25,28,28
456.053,38804,38850,38826,38465,38543,38478,38456,38489,38488,38474,38501,38417,29,25,28,28
461.030,38979,39024,38996,38653,38719,38722,38630,38687,38663,38656,38672,38601,29,25,28,28
466.019,39517,39556,39541,39190,39261,39257,39175,39258,39205,39187,39207,39146,29,25,28,28
470.973,39577,39613,39601,39266,39314,39304,39240,39319,39265,39287,39278,39213,29,25,28,28
475.989,39624,39667,39645,39322,39366,39362,39282,39371,39323,39345,39337,39267,29,25,28,28
481.025,39664,39697,39684,39357,39401,39394,39353,39414,39361,39377,39367,39297,29,25,28,28
486.014,39684,39728,39710,39386,39432,39421,39355,39432,39382,39404,39397,39326,29,25,28,28
490.978,39713,39753,39735,39418,39464,39455,39381,39467,39418,39441,39432,39359,29,25,28,28
496.021,39729,39773,39754,39435,39483,39471,39409,39490,39434,39456,39450,39375,29,25,28,28
501.166,39749,39791,39772,39457,39503,39493,39429,39507,39456,39479,39472,39397,29,25,28,28
506.020,39765,39807,39791,39478,39520,39511,39449,39532,39477,39498,39491,39418,29,25,28,28
511.170,39788,39826,39806,39502,39545,39546,39461,39550,39505,39530,39521,39448,29,25,28,28
516.131,39804,39834,39825,39513,39557,39552,39509,39573,39522,39537,39527,39455,29,25,28,28
521.238,39815,39853,39832,39532,39576,39574,39495,39582,39535,39560,39552,39476,29,25,28,28
526.057,39835,39859,39854,39547,39595,39591,39525,39614,39560,39575,39567,39494,29,25,28,28
531.062,39839,39875,39857,39562,39605,39605,39520,39610,39564,39588,39583,39507,29,25,28,28
536.118,39856,39880,39876,39575,39614,39617,39554,39639,39587,39601,39593,39522,29,25,28,28
541.132,39863,39894,39885,39582,39624,39620,39582,39641,39588,39606,39600,39528,29,25,28,28
546.091,39877,39902,39897,39599,39643,39639,39580,39661,39610,39626,39617,39546,29,25,28,28
551.060,39888,39911,39907,39609,39652,39653,39584,39678,39625,39639,39632,39562,29,25,28,28
556.206,39891,39922,39913,39613,39656,39653,39615,39676,39624,39641,39632,39565,29,25,28,28
561.119,39904,39929,39924,39629,39675,39673,39612,39697,39642,39657,39651,39582,29,25,28,28
566.035,39916,39939,39934,39638,39685,39682,39622,39709,39657,39669,39661,39592,29,25,28,28
571.054,39916,39946,39937,39643,39688,39684,39651,39705,39655,39671,39665,39595,29,25,28,28
576.347,39933,39953,39951,39660,39704,39707,39637,39729,39679,39692,39685,39617,29,25,28,28
581.103,39936,39965,39956,39664,39710,39709,39661,39732,39684,39696,39689,39618,29,25,28,28
586.122,39943,39970,39963,39672,39721,39718,39675,39739,39687,39704,39696,39629,29,25,28,28
591.135,39945,39979,39968,39677,39729,39721,39693,39741,39689,39708,39701,39632,29,25,28,28
596.146,39960,39987,39981,39693,39740,39741,39689,39764,39714,39728,39719,39652,29,25,28,28
601.611,39961,39992,39984,39693,39746,39738,39713,39759,39708,39726,39721,39653,29,25,29,29
606.095,39970,40001,39992,39702,39754,39746,39723,39767,39717,39737,39730,39661,29,25,29,29
611.099,39978,40010,40000,39714,39767,39760,39728,39781,39729,39747,39742,39674,29,25,29,29
616.182,39987,40018,40010,39725,39773,39772,39736,39793,39743,39758,39751,39686,29,25,29,29
621.051,39995,40025,40017,39735,39786,39783,39740,39804,39756,39771,39763,39698,29,26,29,29
626.086,39998,40030,40021,39736,39791,39782,39762,39800,39751,39771,39765,39695,29,26,29,29
631.141,40014,40040,40033,39751,39802,39801,39757,39823,39775,39789,39782,39715,29,26,29,29
636.152,40026,40047,40042,39765,39814,39817,39749,39843,39793,39805,39797,39732,29,26,29,29
641.181,40025,40054,40045,39767,39820,39817,39777,39838,39787,39803,39797,39735,29,26,29,29
646.148,40035,40064,40057,39779,39831,39832,39779,39849,39804,39818,39810,39746,29,26,29,29
651.763,40038,40068,40060,39780,39836,39832,39798,39855,39803,39821,39815,39749,29,26,29,29
656.148,40048,40076,40069,39793,39851,39847,39800,39867,39819,39833,39826,39763,29,26,29,29
661.172,40054,40083,40074,39796,39853,39850,39815,39871,39821,39837,39831,39768,29,26,29,29
666.162,40066,40091,40087,39810,39869,39868,39809,39888,39842,39855,39848,39786,29,26,29,29
671.219,40074,40096,40094,39820,39876,39879,39809,39903,39854,39866,39858,39795,29,26,29,29
676.173,40080,40102,40099,39827,39883,39886,39820,39911,39860,39872,39864,39802,29,26,29,29
681.068,40084,40113,40107,39834,39893,39891,39840,39912,39864,39879,39872,39809,29,26,29,29
686.133,40106,40116,40116,39844,39902,39908,39827,39931,39882,39893,39884,39822,30,26,29,29
691.098,40095,40126,40119,39845,39908,39904,39860,39922,39874,39890,39884,39823,30,26,29,29
696.659,40106,40133,40128,39853,39931,39935,39862,39939,39889,39872,39887,39830,30,26,29,29
701.244,40102,40137,40127,39854,39924,39923,39892,39928,39880,39872,39885,39820,30,26,29,29
706.692,40113,40146,40137,39871,39936,39932,39854,39938,39898,39918,39913,39851,30,26,29,29
711.135,40119,40154,40144,39878,39942,39939,39863,39945,39904,39924,39919,39858,30,26,29,29
716.658,40128,40160,40155,39881,39957,39959,39904,39963,39916,39901,39914,39857,30,26,29,29
721.220,40140,40166,40162,39890,39970,39975,39903,39980,39930,39911,39925,39870,30,26,29,29
726.670,40144,40173,40171,39897,39966,39957,39923,39988,39923,39944,39939,39874,30,26,29,29
731.204,40153,40181,40179,39907,39972,39969,39927,39999,39935,39957,39951,39890,30,26,29,29
736.250,40157,40187,40179,39907,39974,39970,39942,39985,39941,39959,39952,39890,30,26,29,29
741.630,40165,40194,40188,39919,39996,39998,39945,40002,39956,39941,39955,39896,30,26,29,29
746.289,40176,40203,40197,39927,40008,40013,39946,40020,39968,39950,39964,39907,30,26,29,29
751.121,40173,40209,40200,39935,40003,39998,39930,40011,39967,39988,39981,39918,30,26,29,29
756.186,40184,40218,40209,39940,40019,40016,39977,40021,39974,39963,39977,39915,30,26,29,29
761.143,40182,40218,40212,39944,40018,40009,39946,40025,39974,39996,39991,39927,30,26,29,29
