Time(s),CELL VOLTAGE 1 (100 uV),CELL VOLTAGE 2 (100 uV),CELL VOLTAGE 3 (100 uV),CELL VOLTAGE 4 (100 uV),CELL VOLTAGE 5 (100 uV),CELL VOLTAGE 6 (100 uV),CELL VOLTAGE 7 (100 uV),CELL VOLTAGE 8 (100 uV),CELL VOLTAGE 9 (100 uV),CELL VOLTAGE 10 (100 uV),CELL VOLTAGE 11 (100 uV),CELL VOLTAGE 12 (100 uV),Temperature 1(C),Temperature 2(C),Temperature 3(C)
446.415,0,0,0,38521,38531,38546,38553,38562,38544,38537,38669,38501,0,25,25,25
451.398,38569,38537,38544,38519,38528,38548,38553,38559,38537,38527,38670,38502,0,25,25,25
455.925,38592,38530,38543,38547,38538,38549,38544,38545,38502,38528,38679,38511,0,25,25,25
460.914,38798,38745,38721,38728,38744,38734,38716,38719,38728,38699,38870,38674,0,25,25,25
465.930,39347,39307,39270,39288,39352,39292,39265,39265,39382,39245,39407,39238,0,25,25,25
470.879,39406,39367,39328,39354,39415,39363,39328,39326,39438,39300,39476,39312,0,25,25,25
475.908,39457,39413,39373,39394,39466,39396,39375,39370,39478,39353,39506,39370,0,25,25,25
480.931,39493,39444,39425,39435,39500,39436,39409,39408,39547,39385,39543,39367,0,25,25,25
485.906,39523,39478,39442,39461,39534,39469,39436,39440,39547,39419,39579,39402,0,25,25,25
490.895,39549,39507,39468,39489,39561,39498,39457,39466,39578,39444,39607,39422,0,25,25,25
495.906,39576,39532,39494,39518,39605,39518,39491,39489,39590,39473,39626,39461,0,25,25,25
501.036,39597,39555,39514,39534,39609,39537,39515,39513,39621,39493,39645,39521,0,25,25,25
505.938,39616,39567,39547,39561,39621,39557,39534,39533,39671,39513,39662,39539,0,25,25,25
511.000,39634,39583,39565,39575,39645,39578,39539,39553,39691,39530,39685,39500,0,25,25,25
515.998,39651,39606,39566,39594,39674,39596,39558,39566,39667,39547,39709,39524,0,25,25,25
521.019,39666,39625,39585,39604,39673,39605,39585,39583,39693,39563,39712,39607,0,25,25,25
525.966,39682,39634,39615,39625,39691,39624,39592,39601,39733,39577,39727,39556,0,25,25,25
530.946,39700,39653,39615,39638,39720,39639,39611,39609,39709,39595,39746,39586,0,25,25,25
536.008,39710,39663,39630,39646,39718,39654,39619,39626,39736,39607,39763,39590,0,25,25,25
541.009,39723,39680,39642,39666,39750,39663,39637,39635,39734,39620,39770,39626,0,25,25,25
546.010,39734,39688,39657,39668,39735,39673,39644,39651,39769,39638,39777,39622,0,25,25,25
550.948,39748,39703,39663,39689,39775,39686,39663,39660,39758,39645,39798,39679,0,25,25,25
556.086,39760,39708,39687,39705,39763,39684,39673,39672,39812,39650,39808,39669,0,25,25,25
561.023,39764,39718,39700,39712,39778,39708,39680,39684,39825,39662,39814,39688,0,25,25,25
565.962,39777,39727,39714,39728,39813,39721,39686,39698,39823,39673,39833,39653,0,25,25,25
570.950,39789,39744,39710,39735,39817,39736,39696,39705,39808,39690,39852,39667,0,25,25,25
576.095,39799,39753,39721,39739,39808,39745,39705,39715,39826,39695,39857,39677,0,25,25,25
580.999,39811,39767,39729,39754,39843,39739,39726,39724,39821,39707,39863,39759,0,25,25,25
585.990,39821,39769,39753,39763,39823,39767,39725,39733,39872,39720,39878,39694,0,25,25,25
591.017,39832,39785,39757,39774,39863,39774,39742,39744,39853,39731,39892,39720,0,25,25,25
596.070,39841,39796,39758,39779,39849,39784,39751,39752,39861,39736,39902,39816,0,25,25,25
601.494,39848,39798,39781,39801,39887,39780,39753,39763,39900,39749,39908,39808,0,25,25,25
605.949,39862,39812,39793,39811,39891,39788,39774,39775,39911,39755,39915,39763,0,25,25,25
610.999,39871,39820,39806,39813,39879,39813,39779,39784,39925,39766,39929,39748,0,25,25,25
616.086,39881,39835,39802,39815,39886,39823,39786,39793,39904,39779,39939,39763,0,25,25,25
620.965,39884,39842,39805,39832,39904,39837,39793,39799,39900,39785,39954,39797,0,25,25,25
625.968,39895,39849,39816,39840,39920,39843,39797,39809,39912,39793,39962,39781,0,25,25,25
631.018,39906,39865,39828,39844,39907,39845,39820,39818,39931,39805,39960,39853,0,25,25,25
636.013,39915,39865,39853,39860,39924,39855,39824,39831,39971,39813,39967,39812,0,25,25,25
641.027,39923,39881,39841,39869,39959,39856,39833,39837,39938,39820,39988,39900,0,25,25,25
646.039,39935,39885,39869,39882,39959,39878,39840,39849,39981,39830,40001,39809,0,25,25,25
651.637,39938,39900,39859,39887,39966,39886,39854,39853,39956,39841,40012,39927,0,25,25,25
656.051,39953,39909,39868,39896,39972,39895,39861,39860,39960,39847,40023,39919,0,25,25,25
661.038,39961,39911,39896,39911,39984,39889,39865,39875,40003,39855,40020,39837,0,25,25,25
666.031,39969,39925,39893,39910,39992,39910,39879,39881,39994,39869,40032,39860,0,25,25,25
671.055,39978,39935,39897,39920,40006,39905,39890,39888,39989,39876,40035,39933,0,25,25,25
676.055,39986,39938,39922,39937,40018,39915,39893,39898,40029,39882,40047,39866,0,25,25,25
680.998,39996,39950,39917,39937,40024,39924,39898,39907,40011,39893,40059,39876,0,25,25,25
686.022,40004,39961,39923,39945,40032,39930,39915,39913,40018,39903,40062,39920,0,25,25,25
691.019,40011,39969,39932,39955,40041,39941,39921,39922,40025,39914,40067,39929,0,25,25,25
696.575,40019,39970,39952,39970,40050,39951,39919,39931,40070,39916,40086,39895,0,25,25,25
701.124,40027,39978,39961,39976,40059,39957,39937,39941,40074,39924,40091,39905,0,25,25,25
706.604,40035,39990,39956,39975,40039,39977,39945,39954,40058,39934,40098,40024,0,25,25,25
711.039,40045,39999,39973,39980,40043,39984,39948,39970,40072,39954,40096,39945,0,25,25,25
716.568,40054,40009,39977,39994,40079,39996,39961,39965,40074,39954,40117,39939,0,25,25,25
721.066,40062,40015,39984,40005,40087,40004,39957,39973,40079,39961,40129,39941,0,25,25,25
726.586,40069,40028,39988,40013,40103,40006,39981,39979,40086,39971,40137,40041,0,25,25,25
731.060,40081,40037,40000,40023,40109,40017,39989,39989,40099,39981,40143,39983,0,25,25,25
736.098,40087,40042,40010,40027,40113,40013,39992,39995,40104,39989,40142,39974,0,26,26,26
741.524,40096,40049,40016,40030,40096,40036,39998,40005,40115,39993,40157,39980,0,26,26,26
746.145,40104,40058,40024,40035,40103,40040,40010,40012,40124,40005,40157,39994,0,26,26,26
751.037,40111,40063,40029,40045,40113,40053,40008,40019,40134,40007,40175,39991,0,26,26,26
756.099,40120,40074,40044,40060,40149,40055,40024,40029,40142,40023,40176,40014,0,26,26,26
761.039,40124,40076,40044,40062,40129,40070,40021,40047,40151,40023,40192,40005,0,26,26,26
766.074,40133,40087,40059,40074,40159,40070,40039,40044,40163,40036,40191,40027,0,26,26,26
771.034,40141,40097,40064,40076,40137,40079,40047,40050,40163,40046,40196,40035,0,26,26,26
776.494,40148,40106,40066,40091,40178,40076,40057,40057,40163,40047,40207,40089,0,26,26,26
781.024,40157,40107,40077,40096,40184,40086,40057,40067,40172,40055,40215,40042,0,26,26,26
786.561,40167,40118,40086,40105,40184,40105,40059,40075,40182,40063,40228,40044,0,26,26,26
791.021,40171,40126,40094,40113,40195,40112,40077,40082,40199,40070,40235,40056,0,26,26,26
796.050,40183,40135,40103,40121,40208,40106,40077,40091,40200,40080,40243,40056,0,26,26,26
801.073,40186,40140,40107,40124,40192,40123,40092,40105,40210,40089,40245,40153,0,26,26,26
806.551,40200,40147,40127,40147,40223,40133,40102,40104,40240,40090,40258,40082,0,26,26,26
811.066,40203,40151,40133,40150,40229,40141,40098,40114,40244,40094,40269,40070,0,26,26,26
816.103,40213,40165,40132,40147,40207,40152,40109,40120,40229,40107,40270,40091,0,26,26,26
821.177,40220,40173,40143,40159,40243,40157,40115,40132,40242,40116,40279,40095,0,26,26,26
826.034,40229,40183,40144,40166,40259,40160,40132,40132,40242,40127,40286,40134,0,26,26,26
831.207,40233,40188,40150,40171,40259,40157,40138,40140,40246,40137,40286,40131,0,26,26,26
