Time(s),CELL VOLTAGE 1 (100 uV),CELL VOLTAGE 2 (100 uV),CELL VOLTAGE 3 (100 uV),CELL VOLTAGE 4 (100 uV),CELL VOLTAGE 5 (100 uV),CELL VOLTAGE 6 (100 uV),CELL VOLTAGE 7 (100 uV),CELL VOLTAGE 8 (100 uV),CELL VOLTAGE 9 (100 uV),CELL VOLTAGE 10 (100 uV),CELL VOLTAGE 11 (100 uV),CELL VOLTAGE 12 (100 uV),Temperature 1(C),Temperature 2(C),Temperature 3(C)
3230.960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3271.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3310.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3351.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3390.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3430.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3470.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3510.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3551.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3590.820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3631.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3670.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3711.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3750.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3790.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3830.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3870.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3910.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3950.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3990.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4030.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4070.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4110.427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4150.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4190.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
