Time(s),Voltage(V),Current(A),TEMP (C),Battery_%
106.038,14443,-7987,26,95
106.580,14443,-7978,26,95
107.039,14446,-7993,26,95
107.518,14446,-7946,26,95
108.038,14443,-7953,26,95
108.564,14443,-7993,26,95
109.023,14443,-7978,26,95
109.516,14443,-7978,26,95
110.029,14443,-7934,26,95
110.519,14443,-7975,26,95
111.056,14443,-7978,26,95
111.535,14446,-7950,26,95
112.057,14439,-7984,26,95
112.512,14439,-7946,26,95
113.022,14443,-7925,26,95
113.582,14439,-7968,26,95
114.001,14446,-7931,26,95
114.544,14436,-8000,26,95
115.058,14443,-7993,26,95
115.543,14439,-7971,26,95
115.994,14439,-7987,26,95
116.498,14439,-7996,26,95
117.022,14439,-7978,26,95
117.513,14443,-7975,26,95
118.027,14439,-7950,26,95
118.522,14439,-8006,26,95
119.088,14446,-7965,26,95
119.509,14439,-7975,26,95
120.026,14439,-7971,26,95
120.545,14439,-7984,26,95
121.091,14436,-7978,26,95
121.508,14443,-7959,26,95
122.041,14436,-7965,26,95
122.548,14436,-7968,26,95
123.054,14439,-8018,26,95
123.576,14436,-7965,26,95
124.063,14439,-7946,26,95
124.569,14432,-7950,26,95
125.019,14436,-7978,26,95
125.537,14436,-7965,26,95
126.013,14439,-7965,26,95
126.529,14436,-8009,26,95
127.018,14439,-7978,26,95
127.520,14439,-7990,26,95
128.005,14428,-7990,26,95
128.560,14439,-7950,26,95
129.056,14436,-7978,26,95
129.515,14432,-7996,26,95
130.038,14436,-7987,26,95
130.500,14439,-8006,26,95
131.078,14436,-7953,26,95
131.529,14436,-7978,26,95
132.033,14432,-7968,26,95
132.627,14432,-7968,26,95
133.049,14436,-7925,26,95
133.564,14432,-7984,26,95
134.046,14432,-7925,26,95
134.501,14436,-7975,26,95
135.057,14436,-7978,26,95
135.546,14428,-7987,26,95
136.065,14432,-7984,26,95
136.549,14436,-7996,26,95
137.032,14432,-7978,26,95
137.557,14428,-7978,26,95
138.080,14432,-7959,26,95
138.534,14428,-7937,26,95
139.052,14425,-7959,26,95
139.533,14428,-7953,26,95
