Time(s),Voltage(V),Current(A),TEMP (C),Battery_%
113.403,12916,24928,23,13
113.895,12916,24965,23,33
114.412,12924,24937,23,13
114.913,12920,24918,23,33
115.400,12909,24909,23,13
115.913,12916,24915,23,33
116.419,12916,24925,23,13
116.904,12920,24918,23,33
117.461,12920,24937,23,13
117.900,12924,24912,23,33
118.502,12920,24968,23,13
118.890,12920,24915,23,33
119.412,12920,24956,23,13
120.015,12920,24928,23,33
120.383,12913,24934,23,13
120.896,12920,24937,23,33
121.407,12927,24925,23,13
121.927,12924,24940,23,33
122.399,12927,24890,23,13
122.978,12924,24890,23,33
123.440,12927,24909,23,13
123.946,12924,24940,23,33
124.431,12927,24931,23,13
124.925,12920,24940,23,33
125.418,12927,24950,23,13
125.997,12931,24956,23,33
126.439,12931,24950,23,13
127.019,12927,24900,23,33
127.490,12927,24893,23,13
127.917,12927,24909,23,33
128.433,12934,24931,23,13
128.885,12931,24928,23,33
129.463,12927,24946,23,13
129.893,12927,24915,23,33
130.528,12934,24918,23,13
130.909,12931,24928,23,33
131.439,12931,24878,23,13
131.900,12934,24931,23,33
132.435,12934,24912,23,13
133.050,12934,24934,23,33
133.491,12934,24965,23,13
133.933,12934,24887,23,33
134.483,12934,24950,23,13
134.904,12934,24968,23,33
135.451,12934,24896,23,13
136.064,12938,24946,23,33
136.449,12938,24893,23,13
136.879,12934,24959,23,33
137.456,12938,24918,23,13
137.994,12931,24940,23,33
138.533,12934,24956,23,13
138.906,12942,24931,23,34
139.420,12934,24950,23,13
139.883,12945,24946,23,34
140.530,12942,24934,23,13
140.880,12938,24956,23,33
141.437,12942,24940,23,13
142.250,12945,24925,23,34
142.550,12945,24918,23,13
142.950,12945,24928,23,34
143.379,12938,24946,23,13
143.924,12942,24931,23,34
144.440,12942,24946,23,13
144.914,12942,24912,23,33
145.458,12942,24918,23,13
145.900,12945,24900,23,34
146.428,12945,24940,23,13
146.900,12945,24934,23,33
147.507,12945,24906,23,13
147.884,12952,24946,23,34
148.419,12949,24956,23,13
149.004,12952,24975,23,34
149.496,12949,24896,23,13
149.960,12949,24937,23,34
150.419,12942,24918,23,13
150.872,12952,24931,23,34
151.392,12949,24953,23,13
151.901,12949,24946,23,34
152.468,12949,24934,23,13
152.947,12949,24953,23,34
153.404,12945,24940,23,13
153.980,12949,24928,23,34
154.396,12956,24953,23,13
154.883,12949,24959,23,33
155.506,12952,24937,23,13
155.870,12960,24934,23,34
156.429,12956,24918,23,13
156.953,12952,24915,23,34
157.459,12952,24946,23,13
157.982,12952,24925,23,34
158.456,12956,24934,23,13
158.941,12956,24915,23,34
159.396,12956,24912,23,13
160.032,12952,24953,23,34
160.419,12952,24912,23,13
160.984,12952,24909,23,34
161.435,12960,24940,23,13
161.879,12952,24906,23,34
162.413,12956,24968,23,13
162.916,12956,24931,23,34
163.467,12960,24918,23,13
163.926,12963,24946,23,34
164.396,12956,24946,23,13
164.982,12960,24953,23,34
165.370,12956,24906,23,13
165.875,12963,24946,23,34
166.460,12963,24918,23,13
166.914,12956,24953,23,34
167.380,12956,24950,23,13
167.928,12963,24928,23,34
168.479,12963,24940,23,13
168.889,12967,24931,23,34
169.394,12963,24918,23,13
169.998,12967,24887,23,34
170.483,12963,24981,23,13
170.896,12956,24906,23,34
171.499,12963,24890,23,13
171.877,12960,24940,23,34
172.377,12960,24925,23,13
172.910,12963,24965,23,34
173.463,12967,24946,23,13
173.892,12967,24928,23,34
174.411,12963,24946,23,13
175.052,12974,24946,23,34
175.449,12967,24925,23,13
175.959,12967,24925,23,34
176.377,12978,24928,23,13
176.965,12967,24937,23,34
177.381,12967,24918,23,13
177.880,12974,24918,23,34
178.428,12970,24940,23,13
178.913,12974,24968,23,34
179.399,12970,24931,23,13
179.934,12967,24896,23,34
180.410,12970,24931,23,13
180.883,12970,24956,23,34
181.398,12974,24940,23,13
181.954,12974,24900,23,34
182.404,12970,24950,23,13
182.993,12970,24931,23,34
183.439,12970,24915,23,13
183.857,12974,24931,23,34
184.484,12970,24928,23,13
184.971,12967,24893,23,34
185.419,12978,24937,23,13
185.901,12970,24937,23,34
186.368,12970,24940,23,13
186.915,12978,24940,23,34
187.416,12978,24940,23,13
187.873,12970,24971,23,34
188.416,12978,24915,23,13
188.917,12978,24925,23,34
189.419,12981,24953,23,13
190.078,12981,24934,23,34
190.441,12981,24950,23,13
190.922,12985,24953,23,34
191.367,12978,24925,23,13
191.870,12985,24937,23,34
192.384,12981,24946,23,13
193.013,12978,24981,23,34
193.420,12978,24937,23,13
193.931,12981,24918,23,34
194.380,12981,24912,23,13
